name,chinese_name,symbol,category,currency,current_price,change_amount,change_percent,open_price,high_price,low_price,previous_close,volume,market_cap,source,timestamp
Coffee,咖啡,,农产品,USD,3.05,,1.87,,,,,,,business_insider,2025-07-25T14:34:20.537332
Sugar,糖,,农产品,USD,0.17,,1.84,,,,,,,business_insider,2025-07-25T14:34:20.537349
Tin,锡,,工业金属,USD,34949.5,,1.18,,,,,,,business_insider,2025-07-25T14:34:20.537327
Oats,燕麦,,其他,USD,3.6,,0.98,,,,,,,business_insider,2025-07-25T14:34:20.537330
EEX Strompreis Phelix DE,EEX Strompreis Phelix DE,,其他,USD,0.61,,0.61,,,,,,,business_insider,2025-07-25T14:34:20.537308
Gold,黄金,,贵金属,USD,3358.71,,-0.28,,,,,,,business_insider,2025-07-25T14:34:20.537309
Palladium,钯金,,贵金属,USD,1232.5,,0.08,,,,,,,business_insider,2025-07-25T14:34:20.537310
Platinum,铂金,,贵金属,USD,1408.0,,-0.11,,,,,,,business_insider,2025-07-25T14:34:20.537312
Silver,白银,,贵金属,USD,39.06,,-0.1,,,,,,,business_insider,2025-07-25T14:34:20.537313
天然气,天然气(亨利中心),,能源,USD,3.11,,-0.22,,,,,,,business_insider,2025-07-25T14:34:20.537314
取暖油,取暖油,,能源,USD,63.67,,0.0,,,,,,,business_insider,2025-07-25T14:34:20.537315
Coal,煤炭,,其他,USD,104.5,,-0.24,,,,,,,business_insider,2025-07-25T14:34:20.537316
RBOB汽油,RBOB汽油,,能源,USD,2.12,,0.62,,,,,,,business_insider,2025-07-25T14:34:20.537318
布伦特原油,布伦特原油,,能源,USD,69.74,,0.55,,,,,,,business_insider,2025-07-25T14:34:20.537319
WTI原油,WTI原油,,能源,USD,66.59,,0.65,,,,,,,business_insider,2025-07-25T14:34:20.537320
Aluminium,铝,,其他,USD,2646.35,,0.22,,,,,,,business_insider,2025-07-25T14:34:20.537321
Lead,铅,,工业金属,USD,2006.7,,0.0,,,,,,,business_insider,2025-07-25T14:34:20.537322
Copper,铜,,工业金属,USD,9860.95,,0.0,,,,,,,business_insider,2025-07-25T14:34:20.537323
Nickel,镍,,工业金属,USD,15328.5,,0.03,,,,,,,business_insider,2025-07-25T14:34:20.537325
Zinc,锌,,工业金属,USD,2853.3,,-0.26,,,,,,,business_insider,2025-07-25T14:34:20.537326
Cotton,棉花,,农产品,USD,0.67,,-0.43,,,,,,,business_insider,2025-07-25T14:34:20.537328
Lumber,木材,,其他,USD,665.0,,-0.15,,,,,,,business_insider,2025-07-25T14:34:20.537331
Cocoa,可可,,农产品,USD,5326.0,,-2.24,,,,,,,business_insider,2025-07-25T14:34:20.537333
活牛,活牛,,农产品,USD,2.26,,-0.65,,,,,,,business_insider,2025-07-25T14:34:20.537334
瘦肉猪,瘦肉猪,,农产品,USD,1.08,,-0.16,,,,,,,business_insider,2025-07-25T14:34:20.537336
Corn,玉米,,农产品,USD,4.02,,0.12,,,,,,,business_insider,2025-07-25T14:34:20.537337
饲料牛,饲料牛,,农产品,USD,3.29,,-0.86,,,,,,,business_insider,2025-07-25T14:34:20.537338
Milk,牛奶,,其他,USD,17.33,,-0.12,,,,,,,business_insider,2025-07-25T14:34:20.537339
Orange Juice,橙汁,,其他,USD,3.32,,-1.75,,,,,,,business_insider,2025-07-25T14:34:20.537340
Palm Oil,棕榈油,,能源,USD,4258.0,,0.33,,,,,,,business_insider,2025-07-25T14:34:20.537341
Rapeseed,油菜籽,,其他,USD,475.25,,-0.26,,,,,,,business_insider,2025-07-25T14:34:20.537343
Rice,大米,,其他,USD,12.56,,0.24,,,,,,,business_insider,2025-07-25T14:34:20.537344
Soybean Meal,豆粕,,农产品,USD,270.7,,0.33,,,,,,,business_insider,2025-07-25T14:34:20.537345
Soybeans,大豆,,农产品,USD,10.04,,-0.17,,,,,,,business_insider,2025-07-25T14:34:20.537346
Soybean Oil,豆油,,能源,USD,0.56,,-0.57,,,,,,,business_insider,2025-07-25T14:34:20.537347
Wheat,小麦,,农产品,USD,197.5,,-0.88,,,,,,,business_insider,2025-07-25T14:34:20.537348
